"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"04/20/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","49","21","35","26"
"04/21/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","42","26","28","20"
"04/22/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","43","14","26","27"
"04/23/2021","57","NO2","Near Road","11-001-0051","AQS","7","54","21","39","57"
"04/24/2021","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","58","19","48","41"
"04/25/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","47","12","38","24"
"04/26/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","48","11","25","41"
"04/27/2021","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","58","20","52","37"
"04/28/2021","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","61",".","57","40"
"04/29/2021","52","PM2.5","Near Road","11-001-0051","AQS","6","43","34","52","28"
"04/30/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","44","33","16","8"
"05/01/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","45","17","18","24"
"05/02/2021","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","58","19","37","20"
"05/03/2021","46","PM2.5","Near Road","11-001-0051","AQS","5","41","21","46","25"
"05/04/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","41","21","33","22"
"05/05/2021","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","39","22","33","19"
"05/06/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","38","13","25","33"
"05/07/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","38","16","33","26"
"05/08/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","41","15","19","25"
"05/09/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","40","18","28","27"
"05/10/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","44","15","18","22"
"05/11/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","47","15","28","33"
"05/12/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","36","14","21","36"
"05/13/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","44","17","33","40"
"05/14/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","45","19","44","41"
"05/15/2021","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","67","17","40","39"
"05/16/2021","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","46","18","34","23"
"05/17/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","49","25","45","27"
"05/18/2021","80","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","80","22","47","36"
"05/19/2021","101","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","101","23","52","48"
"05/20/2021","140","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","140","26","52","44"
