OBJECTID,REPORT_DATE,WARD,LIVES_LOST,POSITIVE_CASES,TOTAL_TESTS,LOAD_TIME
128,2021/07/27 00:00:00+00,Ward 1,110,5851,205536,2023/01/07 08:00:08+00
129,2021/07/28 00:00:00+00,Ward 1,110,5857,207558,2023/01/07 08:00:08+00
130,2021/07/29 00:00:00+00,Ward 1,110,5864,207558,2023/01/07 08:00:08+00
131,2021/07/30 00:00:00+00,Ward 1,110,5908,207558,2023/01/07 08:00:08+00
132,2021/08/02 00:00:00+00,Ward 1,110,5913,207558,2023/01/07 08:00:08+00
133,2021/08/03 00:00:00+00,Ward 1,110,5923,207558,2023/01/07 08:00:08+00
134,2021/08/04 00:00:00+00,Ward 1,110,5941,207558,2023/01/07 08:00:08+00
135,2021/08/05 00:00:00+00,Ward 1,110,5956,210194,2023/01/07 08:00:08+00
136,2021/08/06 00:00:00+00,Ward 1,110,6012,210194,2023/01/07 08:00:08+00
137,2021/08/09 00:00:00+00,Ward 1,110,6021,210194,2023/01/07 08:00:08+00
138,2021/08/10 00:00:00+00,Ward 1,110,6034,210194,2023/01/07 08:00:08+00
139,2021/08/11 00:00:00+00,Ward 1,110,6050,,2023/01/07 08:00:08+00
140,2021/08/12 00:00:00+00,Ward 1,110,6072,,2023/01/07 08:00:08+00
141,2021/08/13 00:00:00+00,Ward 1,110,6147,,2023/01/07 08:00:08+00
142,2021/08/16 00:00:00+00,Ward 1,110,6159,213595,2023/01/07 08:00:08+00
143,2021/08/17 00:00:00+00,Ward 1,110,6172,213595,2023/01/07 08:00:08+00
144,2021/08/18 00:00:00+00,Ward 1,110,6192,213595,2023/01/07 08:00:08+00
145,2021/08/19 00:00:00+00,Ward 1,110,6218,217003,2023/01/07 08:00:08+00
146,2021/08/20 00:00:00+00,Ward 1,110,6268,217003,2023/01/07 08:00:08+00
147,2021/08/23 00:00:00+00,Ward 1,110,6268,217003,2023/01/07 08:00:08+00
148,2021/08/24 00:00:00+00,Ward 1,110,6289,217003,2023/01/07 08:00:08+00
149,2021/08/25 00:00:00+00,Ward 1,110,6319,217003,2023/01/07 08:00:08+00
150,2021/08/26 00:00:00+00,Ward 1,110,6270,217003,2023/01/07 08:00:08+00
151,2021/08/27 00:00:00+00,Ward 1,110,6410,221037,2023/01/07 08:00:08+00
152,2021/08/30 00:00:00+00,Ward 1,110,6434,221037,2023/01/07 08:00:08+00
153,2021/08/31 00:00:00+00,Ward 1,110,6448,221037,2023/01/07 08:00:08+00
154,2021/09/01 00:00:00+00,Ward 1,110,6457,225722,2023/01/07 08:00:08+00
155,2021/09/02 00:00:00+00,Ward 1,110,6472,225722,2023/01/07 08:00:08+00
156,2021/09/03 00:00:00+00,Ward 1,110,6548,225722,2023/01/07 08:00:08+00
157,2021/09/06 00:00:00+00,Ward 1,110,6548,225722,2023/01/07 08:00:08+00
158,2021/09/07 00:00:00+00,Ward 1,110,6558,225722,2023/01/07 08:00:08+00
159,2021/09/08 00:00:00+00,Ward 1,110,6568,229247,2023/01/07 08:00:08+00
160,2021/09/09 00:00:00+00,Ward 1,110,6579,229247,2023/01/07 08:00:08+00
161,2021/09/10 00:00:00+00,Ward 1,110,6633,229247,2023/01/07 08:00:08+00
162,2021/09/13 00:00:00+00,Ward 1,110,6674,229247,2023/01/07 08:00:08+00
163,2021/01/01 00:00:00+00,Ward 3,41,1587,92282,2023/01/07 08:00:08+00
164,2021/01/02 00:00:00+00,Ward 3,41,1599,92862,2023/01/07 08:00:08+00
165,2021/01/03 00:00:00+00,Ward 3,41,1606,93218,2023/01/07 08:00:08+00
166,2021/01/04 00:00:00+00,Ward 3,42,1620,93660,2023/01/07 08:00:08+00
167,2021/01/05 00:00:00+00,Ward 3,42,1634,94116,2023/01/07 08:00:08+00
168,2021/01/06 00:00:00+00,Ward 3,42,1655,94480,2023/01/07 08:00:08+00
169,2021/01/07 00:00:00+00,Ward 3,42,1675,95268,2023/01/07 08:00:08+00
170,2021/01/08 00:00:00+00,Ward 3,42,1692,95916,2023/01/07 08:00:08+00
171,2021/01/09 00:00:00+00,Ward 3,42,1716,96430,2023/01/07 08:00:08+00
172,2021/01/10 00:00:00+00,Ward 3,42,1725,96730,2023/01/07 08:00:08+00
173,2021/01/11 00:00:00+00,Ward 3,42,1748,97530,2023/01/07 08:00:08+00
174,2021/01/12 00:00:00+00,Ward 3,42,1765,97805,2023/01/07 08:00:08+00
175,2021/01/13 00:00:00+00,Ward 3,42,1781,98191,2023/01/07 08:00:08+00
176,2021/01/14 00:00:00+00,Ward 3,42,1796,98858,2023/01/07 08:00:08+00
