county,average_cases,average_deaths,geoid,state,estimate_households_with_internet,estimate_number_commuting_to_work,estimate_percent_essential_workers,estimate_mean_earnings_usd,estimate_health_insurance_coverage,estimate_families_below_poverty_line_percent,moe_households_with_internet,moe_number_commuting_to_work,moe_percent_essential_workers,moe_mean_earnings_usd,moe_health_insurance_coverage,moe_families_below_poverty_line_percent
Montgomery County,40830.27785419532,827.8873626373627,51121,Virginia,31921,44417,37.1,78327,98755,NA,784,1167,1.9,3258,170,NA
Prince George's County,86051.1652892562,1531.934065934066,24033,Maryland,307362,494767,22.1,107000,950235,NA,1633,3646,0.5,1324,641,NA
Queen Anne's County,3141.823691460055,52.86538461538461,24035,Maryland,16369,25114,24,119590,49240,NA,398,640,2,5390,207,NA
St. Mary's County,6871.198347107438,134.43956043956044,24037,Maryland,35725,56640,18,118893,109932,NA,802,1080,1.4,4486,642,NA
Somerset County,2745.650137741047,40.87637362637363,24039,Maryland,6452,8947,32.2,59796,20831,NA,365,493,3.7,5153,484,NA
Talbot County,2282.6666666666665,41.82967032967033,24041,Maryland,14332,17010,22.6,111657,37127,NA,450,505,2.1,8856,112,NA
Washington County,10556.511691884456,216.75824175824175,24043,Maryland,48913,69402,21.1,90632,145280,NA,993,1624,1.4,3005,1409,NA
Washington County,10556.511691884456,216.75824175824175,51191,Virginia,17374,23403,26.3,75320,53115,NA,558,672,2.1,3717,283,NA
Wicomico County,8438.465564738292,174.34615384615384,24045,Maryland,33672,49458,29.1,80012,101953,NA,748,1193,1.8,3585,281,NA
Worcester County,3952.382920110193,102.70879120879121,24047,Maryland,19692,23787,20.1,96072,51546,NA,659,701,1.8,7068,217,NA
Baltimore city,52141.31955922865,1147.848901098901,24510,Maryland,195004,271624,31.7,86630,583931,NA,2077,2936,0.8,1419,1027,NA
Accomack County,3140.368131868132,51.21978021978022,51001,Virginia,10899,14104,19.8,66139,32937,NA,555,604,3.2,4073,168,NA
Albemarle County,6172.799450549451,81.15934065934066,51003,Virginia,38455,53991,35,121707,110180,NA,971,1254,1.7,4913,221,NA
Alleghany County,1553.4505494505495,53.925824175824175,51005,Virginia,4898,6270,25.9,75748,15025,NA,289,327,3.6,6480,112,NA
