date,overall_aqi_value,main_pollutant,site_name_of_overall_aqi,site_id_of_overall_aqi,source_of_overall_aqi,co,ozone,pm25,no2
2021-05-10,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,44,18,22
2021-05-11,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,47,28,33
2021-05-12,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,36,21,36
2021-05-13,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,44,33,40
2021-05-14,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,45,44,41
2021-05-15,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,67,40,39
2021-05-16,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,46,34,23
2021-05-17,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,49,45,27
2021-05-18,80,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,80,47,36
2021-05-19,101,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,101,52,48
2021-05-20,140,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,140,52,44
2021-05-21,84,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,84,41,30
2021-05-22,80,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,80,52,31
2021-05-23,61,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,61,52,6
2021-05-24,30,PM2.5,Near Road,11-001-0051,AQS,5,27,30,15
2021-05-25,43,PM2.5,Near Road,11-001-0051,AQS,5,38,43,25
2021-05-26,74,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,74,58,23
2021-05-27,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,49,40,39
2021-05-28,42,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,7,41,42,24
2021-05-29,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,29,8,10
2021-05-30,24,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,24,14,7
2021-05-31,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,41,33,34
2021-06-01,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,41,35,28
2021-06-02,45,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,45,45,29
2021-06-03,33,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,3,32,33,20
2021-06-04,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,46,32,25
2021-06-05,105,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,105,52,26
2021-06-06,77,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,77,58,24
